Species,Adult_wet_mass_g,Lower (g),Upper (g),Reference,DOI/URL,Data type
Acartia_bilobata,0.00003,0.00002,0.00004,Species-specific copepod literature,Species record / literature search,Estimated
Adalia_bipunctata,0.009,0.007,0.012,"Adult fresh weight, diet experiment",PMC article,Measured
Agonum_dorsale,0.03,Ñ,Ñ,Species-specific body-size estimate,Ñ,Estimated
Amara_chalcites,0.025,Ñ,Ñ,Species-specific body-size estimate,Ñ,Estimated
Amara_congrua,0.025,Ñ,Ñ,Species-specific body-size estimate,Ñ,Estimated
Amara_gigantea,0.06,Ñ,Ñ,Species-specific body-size estimate,Ñ,Estimated
Amara_macronota,0.025,Ñ,Ñ,Species-specific body-size estimate,Ñ,Estimated
Amara_similata,0.0093,Ñ,Ñ,Adult dry mass converted/adjusted for wet mass; adult length 8.7 mm,Amara body-mass study,Calculated
Amblydromalus_limonicus,0.000003,Ñ,Ñ,Adult phytoseiid mite size estimate,Ñ,Estimated
Amblyseius_swirskii,0.000003,Ñ,Ñ,Adult phytoseiid mite size estimate,Ñ,Estimated
Ampithoe_longimana,0.02,Ñ,Ñ,Adult amphipod size estimate,Ñ,Estimated
Ampithoe_marcuzzii,0.015,Ñ,Ñ,Adult amphipod size estimate,Ñ,Estimated
Ampithoe_valida,0.025,Ñ,Ñ,Adult amphipod size estimate,Ñ,Estimated
Apocyclops_royi,0.00002,Ñ,Ñ,Adult copepod size estimate,Ñ,Estimated
Arbacia_lixula,50,42,58,"Adult animals, mean 50 ± 8 g",Marine Science study,Measured
Asterina_miniata,8,Ñ,Ñ,Adult sea-star size estimate,Ñ,Estimated
Attheyella_trispinosa,0.000015,Ñ,Ñ,Adult harpacticoid estimate,Ñ,Estimated
Balaustium_leander,0.00005,Ñ,Ñ,Adult mite estimate,Ñ,Estimated
Bestiolina_similis,0.00002,Ñ,Ñ,Adult copepod estimate,Ñ,Estimated
Bryocamptus_minutus,0.00001,Ñ,Ñ,Adult harpacticoid estimate,Ñ,Estimated
Callimorpha_dominula,0.2,Ñ,Ñ,Adult moth size estimate,Ñ,Estimated
Campylomma_livida,0.0025,Ñ,Ñ,Adult mirid estimate,Ñ,Estimated
Centropages_hamatus,0.000055,0.000045,0.00007,Adult female wet weight 45Ð70 µg,DIN EN 17204 zooplankton wet-weight table,Measured
Cheiracanthium_inclusum,0.03,Ñ,Ñ,Adult spider size estimate,Ñ,Estimated
Chorus_giganteus,0.08,Ñ,Ñ,Adult insect size estimate,Ñ,Estimated
Chrysoperla_carnea,~0.015,Ñ,Ñ,Adult wet mass estimated from published dry mass; dry female Å7.7 mg,Chrysoperla study,Calculated
Coccinella_septempunctata,~0.062,Ñ,Ñ,Adult body mass literature,Adult ladybird study,Measured
Colaspis_crinicornis,0.02,Ñ,Ñ,Adult beetle size estimate,Ñ,Estimated
Coleomegilla_maculata,0.014,0.013,0.016,Adult female/male weights at 24Ð28 ¡C,Journal of Insect Science study,Measured
Corbicula_fluminea,4.1,3.2,5,Adult whole-animal wet weight,Frontiers study,Measured
