Article.ID,Author,Journal,Year,Consumer.Sp,Habitat,Trophic.Level,Defence,Comparison.ID,mean,n,sd,Trait,n_foods,treat,Trait_type,M.F
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c1,89.03225806,5,7.096774194,Egg.Production,1,single,Repro,F
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c1,50.96774194,5,10.96774194,Egg.Production,1,single,Repro,F
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c1,72.90322581,5,4.516129032,Egg.Production,1,single,Repro,F
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c1,34.19354839,5,14.83870968,Egg.Production,2,mix,Repro,F
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c1,120.9677419,5,12.25806452,Egg.Production,2,mix,Repro,F
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c1,19.35483871,5,6.451612903,Egg.Production,2,mix,Repro,F
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c1,41.29032258,5,6.451612903,Egg.Production,3,mix,Repro,F
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c326,6.2,5,0.2,Development.Time,1,single,DevTime,any
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c326,7,5,0.2,Development.Time,1,single,DevTime,any
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c326,6.7,5,0.2,Development.Time,1,single,DevTime,any
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c326,7.1,5,0.4,Development.Time,2,mix,DevTime,any
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c326,6.6,5,0.2,Development.Time,2,mix,DevTime,any
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c326,7.1,5,0.2,Development.Time,2,mix,DevTime,any
a1,Alajmi,Aquaculture Research,2015,Parvocalanus_crassirostris,Marine,Primary.Consumer,N,c326,7.1,5,0.2,Development.Time,3,mix,DevTime,any
a2,Aldana Aranda,Aquaculture,1989,Strombus_gigas,Marine,Primary.Consumer,N,c2,37.54,30,12.4,Growth.Rate,1,single,Size,any
a2,Aldana Aranda,Aquaculture,1989,Strombus_gigas,Marine,Primary.Consumer,N,c2,35.84,30,9.94,Growth.Rate,1,single,Size,any
a2,Aldana Aranda,Aquaculture,1989,Strombus_gigas,Marine,Primary.Consumer,N,c2,39.69,30,11.93,Growth.Rate,2,mix,Size,any
a3,Aquilino,Marine Ecology Progress Series,2012,Pachygrapsus_crassipes,Marine,Primary.Consumer,N,c3,1.688787185,19,0.621347835,Size,1,single,Size,any
a3,Aquilino,Marine Ecology Progress Series,2012,Pachygrapsus_crassipes,Marine,Primary.Consumer,N,c3,0.938215103,28,0.689649521,Size,1,single,Size,any
a3,Aquilino,Marine Ecology Progress Series,2012,Pachygrapsus_crassipes,Marine,Primary.Consumer,N,c3,1.459954233,29,0.653869889,Size,1,single,Size,any
a3,Aquilino,Marine Ecology Progress Series,2012,Pachygrapsus_crassipes,Marine,Primary.Consumer,N,c3,0.576659039,25,0.582944927,Size,1,single,Size,any
a3,Aquilino,Marine Ecology Progress Series,2012,Pachygrapsus_crassipes,Marine,Primary.Consumer,N,c3,1.38215103,25,0.672628762,Size,1,single,Size,any
a3,Aquilino,Marine Ecology Progress Series,2012,Pachygrapsus_crassipes,Marine,Primary.Consumer,N,c3,1.752860412,27,0.56007537,Size,5,mix,Size,any
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c318,6.13,52,0.49989999,Immature.Development.Time,1,single,DevTime,any
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c318,6.97,70,0.249198716,Immature.Development.Time,1,single,DevTime,any
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c318,6.55,56,0.519133894,Immature.Development.Time,2,mix,DevTime,any
