"Trait","Moderator","lnRR_Estimate","lnRR_CI_lower","lnRR_CI_upper","lnCVR_Estimate","lnCVR_CI_lower","lnCVR_CI_upper"
"Size","Max Single Food",0.442150474641572,0.372371231593332,0.511929717689813,-0.166098514905738,-0.233565324046041,-0.0986317057654342
"","Habitat",0.0479843851634411,-0.149815476386851,0.245784246713733,-0.127473208141849,-0.331004869209642,0.0760584529259435
"","Trophic Level",-0.119433171579947,-0.254356022983589,0.0154896798236958,-0.078641166957014,-0.258994100355061,0.101711766441033
"","Defence",-0.152854926577859,-0.37846294121439,0.0727530880586717,0.19555311021031,-0.149062949101573,0.540169169522194
"","log N Foods",-0.186739912034948,-0.306634567755144,-0.0668452563147513,0.0205283993865178,-0.154438513402016,0.195495312175051
"Development Time","Max Single Food",-0.120964247593683,-0.148413195326367,-0.0935152998609999,-0.051942340550731,-0.129035026749456,0.0251503456479936
"","Habitat",0.144179704146998,-0.0769940878422379,0.365353496136234,0.35022148536561,-0.883593149169649,1.58403611990087
"","Trophic Level",0.13883104933851,0.0378234881214953,0.239838610555525,0.0144486098753434,-0.485504944708805,0.514402164459492
"","Defence",-0.0825249353441016,-0.390412052857967,0.225362182169764,-0.533574818068818,-1.5665991829467,0.499449546809062
"","log N Foods",0.0918858491749931,-0.0470220748520273,0.230793773202014,0.258187775204595,-0.116780712163436,0.633156262572627
"Reproductive Function","Max Single Food",0.567096367973774,0.445411235530516,0.688781500417031,-0.299164798180339,-0.36554214720169,-0.232787449158989
"","Habitat",-0.24408940127255,-0.480891611473945,-0.00728719107115453,0.0987803520883911,-0.133261328777828,0.33082203295461
"","Trophic Level",-0.221615516499833,-0.458801866497223,0.0155708334975561,0.0507814139567441,-0.178879726711896,0.280442554625384
"","Defence",NA,NA,NA,NA,NA,NA
"","log N Foods",-0.759708744095645,-1.25134021704082,-0.268077271150466,0.316366662899,0.0803650108702414,0.552368314927759
"Lifespan","Max Single Food",0.261050017423197,0.182878929728129,0.339221105118264,-0.180552202789287,-0.265775591651074,-0.0953288139274995
"","Habitat",-0.111595432528629,-0.346412273753426,0.123221408696168,0.0392558480003423,-0.371437931906566,0.449949627907251
"","Trophic Level",-0.110896607111308,-0.308018599909456,0.0862253856868398,0.0956325972044021,-0.212608478398248,0.403873672807052
"","Defence",NA,NA,NA,NA,NA,NA
"","log N Foods",-0.190339995976674,-0.481811915331159,0.10113192337781,0.0570241755518148,-0.180533340168781,0.294581691272411
