"Kingdom","Phylum","Class","Order","Family","Species","n_articles","n_experiments"
"Metazoa","Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia_bilobata",1,2
"Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia_bipunctata",1,1
"Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum_dorsale",1,1
"Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Amara_chalcites",1,1
"Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Amara_congrua",1,1
"Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Amara_gigantea",1,2
"Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Amara_macronota",2,2
"Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Amara_similata",1,1
"Metazoa","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Amblydromalus_limonicus",3,8
"Metazoa","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Amblyseius_swirskii",4,10
"Metazoa","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe_longimana",1,1
"Metazoa","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe_marcuzzii",1,1
"Metazoa","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe_valida",1,1
"Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Apocyclops_royi",1,1
"Metazoa",NA,"Echinoidea","Arbacoida","Arbaciidae","Arbacia_lixula",1,1
"Metazoa",NA,"Asteroidea","Valvatida","Asterinidae","Asterina_miniata",1,1
"Metazoa","Arthropoda","Hexanauplia","Harpacticoida","Canthocamptidae","Attheyella_trispinosa",1,1
"Metazoa","Arthropoda","Arachnida","Trombidiformes","Erythraeidae","Balaustium_leander",1,1
"Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Bestiolina_similis",2,3
"Metazoa","Arthropoda","Hexanauplia","Harpacticoida","Canthocamptidae","Bryocamptus_minutus",1,1
"Metazoa","Arthropoda","Insecta","Lepidoptera","Erebidae","Callimorpha_dominula",1,1
"Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","Campylomma_livida",1,4
"Metazoa","Arthropoda","Hexanauplia","Calanoida","Centropagidae","Centropages_hamatus",1,1
"Metazoa","Arthropoda","Arachnida","Araneae","Miturgidae","Cheiracanthium_inclusum",1,3
"Metazoa","Mollusca","Gastropoda","Neogastropoda","Muricidae","Chorus_giganteus",1,1
"Metazoa","Arthropoda","Insecta","Neuroptera","Chrysopidae","Chrysoperla_carnea",1,1
"Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coccinella_septempunctata",4,7
"Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Colaspis_crinicornis",1,3
"Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coleomegilla_maculata",1,1
"Metazoa","Mollusca","Bivalvia","Venerida","Cyrenidae","Corbicula_fluminea",1,1
"Metazoa","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea_gigas",2,2
"Metazoa","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea_virginica",2,3
"Metazoa","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula_fornicata",1,1
"Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Cycloneda_sanguinea",1,1
"Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopinidae","Cyclopina_kasignete",1,2
"Metazoa","Arthropoda","Insecta","Diptera","Cylindrotomidae","Cylindrotoma_distinctissima",1,1
"Metazoa","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Cymadusa_compta",1,1
"Metazoa","Arthropoda","Branchiopoda","Diplostraca","Daphniidae","Daphnia_galeata",2,10
"Metazoa","Arthropoda","Branchiopoda","Diplostraca","Daphniidae","Daphnia_magna",6,9
"Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","Deraeocoris_signatus",1,5
"Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","Dicyphus_hesperus",1,1
